driverId,name,ssn,location,certified,wage-plan
10,Joe Roberts,014-44-8529,"93243 Myers Loop Suite 764
Kevinton, FL 10060",N,hours
11,Kathleen Williams,494-24-8022,"05520 Gibson Ports Apt. 431
Timothyview, DE 64389",Y,miles
12,Norman Clarke,153-30-3816,"357 Shea Keys
South Jamie, LA 96639",N,miles
13,Leslie Bailey,641-64-1210,"7887 Micheal Plaza Apt. 963
East Erinmouth, DE 19061",Y,miles
14,Richard Kerr,102-40-2474,"373 Joseph Corner
Laurenbury, NJ 24575",Y,hours
15,Holly Gonzalez,328-99-2018,"18446 Brewer Pike Suite 510
Kelleytown, CO 98179",Y,hours
16,Christopher Lawrence,495-45-0996,"4934 Obrien Village
Fischerside, IL 49930",Y,hours
17,Brian Gutierrez PhD,541-99-4392,"USNS Garcia
FPO AA 62362",Y,hours
18,Suzanne Robinson,082-35-1916,"680 Walker Fork Apt. 746
New Terrance, AR 93197",N,hours
19,Lindsay Snyder,152-57-7533,"USS Graves
FPO AE 19581",N,hours
20,James Myers,427-37-2885,"7338 Griffin Ville Suite 544
Parkerborough, WI 27293",N,miles
21,Robert Smith,651-57-8366,"5413 Michael Forks Suite 075
Courtneyton, RI 99326",N,miles
22,Anthony Sutton,849-58-1491,"PSC 7496, Box 1042
APO AP 93233",Y,hours
23,Carlos Schmitt,067-71-6219,"9263 Potter Causeway
South Danielfort, OR 68028",N,miles
24,Kimberly Patel,288-34-7139,"4658 Meyer Junction Apt. 899
Brownhaven, WV 41661",Y,hours
25,Ricky Ray,627-08-4378,"94506 Johnson Camp
Port Ashleechester, TX 83937",N,miles
26,George Hodge,622-04-8073,"73452 Robert Harbor
East Angelburgh, KS 94776",N,miles
27,Lindsay Werner,238-87-8460,"34342 Nathaniel River
Arthurmouth, AL 31629",Y,miles
28,Pamela Moss,845-62-4183,"PSC 0827, Box 6864
APO AE 37834",N,miles
29,James Brown Jr.,242-19-5081,"5863 Janet Dam Apt. 639
Kimberlyside, NC 95248",Y,hours
30,Danielle Munoz,586-89-4127,"717 Lopez Loaf
Rhondamouth, AL 73482",Y,hours
